,lvl0,lvl1,lvl2,lvl3,lvl4,count
93,all,loan,loan_credit,loan_credit_money,loan_credit_money_invest,2
94,all,loan,loan_credit,loan_credit_invest,loan_credit_invest_relay,2
95,all,loan,loan_credit,loan_credit_invest,loan_credit_invest_money,3
96,all,credit,credit_relay,credit_relay_money,credit_relay_money_invest,5
97,all,credit,credit_relay,credit_relay_money,credit_relay_money_loan,3
98,all,credit,credit_relay,credit_relay_invest,credit_relay_invest_money,4
99,all,credit,credit_relay,credit_relay_invest,credit_relay_invest_loan,2
100,all,credit,credit_relay,credit_relay_loan,credit_relay_loan_money,32
101,all,credit,credit_relay,credit_relay_loan,credit_relay_loan_invest,16
102,all,credit,credit_money,credit_money_relay,credit_money_relay_invest,4
103,all,credit,credit_money,credit_money_relay,credit_money_relay_loan,11
104,all,credit,credit_money,credit_money_invest,credit_money_invest_relay,4
105,all,credit,credit_money,credit_money_invest,credit_money_invest_loan,2
106,all,credit,credit_money,credit_money_loan,credit_money_loan_relay,0
107,all,credit,credit_money,credit_money_loan,credit_money_loan_invest,0
108,all,credit,credit_invest,credit_invest_relay,credit_invest_relay_money,5
109,all,credit,credit_invest,credit_invest_relay,credit_invest_relay_loan,4
110,all,credit,credit_invest,credit_invest_money,credit_invest_money_relay,8
111,all,credit,credit_invest,credit_invest_money,credit_invest_money_loan,1
112,all,credit,credit_invest,credit_invest_loan,credit_invest_loan_relay,0
113,all,credit,credit_invest,credit_invest_loan,credit_invest_loan_money,0
114,all,credit,credit_loan,credit_loan_relay,credit_loan_relay_money,6
115,all,credit,credit_loan,credit_loan_relay,credit_loan_relay_invest,3
116,all,credit,credit_loan,credit_loan_money,credit_loan_money_relay,2
117,all,credit,credit_loan,credit_loan_money,credit_loan_money_invest,0
118,all,credit,credit_loan,credit_loan_invest,credit_loan_invest_relay,0
119,all,credit,credit_loan,credit_loan_invest,credit_loan_invest_money,3
120,all,relay,relay_money,relay_money_invest,relay_money_invest_loan,1334
121,all,relay,relay_money,relay_money_invest,relay_money_invest_credit,2897
122,all,relay,relay_money,relay_money_loan,relay_money_loan_invest,959
123,all,relay,relay_money,relay_money_loan,relay_money_loan_credit,202
124,all,relay,relay_money,relay_money_credit,relay_money_credit_invest,2423
125,all,relay,relay_money,relay_money_credit,relay_money_credit_loan,352
126,all,relay,relay_invest,relay_invest_money,relay_invest_money_loan,1882
127,all,relay,relay_invest,relay_invest_money,relay_invest_money_credit,1410
128,all,relay,relay_invest,relay_invest_loan,relay_invest_loan_money,1141
